nonlinearity,lambda,Delta,p_n,n_d,gen_error
sign,0.01,0.1,0.3,2.0,0.6274075024628637
sign,0.01,0.1,0.4,2.0,0.4788177771260689
sign,0.01,0.1,0.5,2.0,0.33152791697790596
sign,0.01,0.1,0.6,2.0,0.18951975461080006
sign,0.01,0.1,0.7,2.0,0.05458071770203965
sign,0.01,0.5,0.3,2.0,0.7275421989210372
sign,0.01,0.5,0.4,2.0,0.6198388111536952
sign,0.01,0.5,0.5,2.0,0.52103767767034
sign,0.01,0.5,0.6,2.0,0.43735183909540964
sign,0.01,0.5,0.7,2.0,0.37068183133084953
sign,0.01,0.5,0.8,2.0,0.3181477900160372
sign,0.01,0.5,0.9,2.0,0.2716827083567035
sign,0.01,0.5,1.0,2.0,0.22292708115596316
sign,0.01,0.5,1.1,2.0,0.17290198329570927
sign,0.01,0.5,1.2,2.0,0.12806109334353688
sign,0.01,0.5,1.3,2.0,0.09123765536897888
sign,0.01,0.5,1.4,2.0,0.06186741127451478
sign,0.01,0.5,1.5,2.0,0.03844128181873341
sign,0.01,0.5,1.6,2.0,0.019548150062899783
sign,0.01,0.5,1.7,2.0,0.004091789414987224
sign,0.01,1.0,0.3,2.0,0.8527105694937541
sign,0.01,1.0,0.4,2.0,0.7961151036882281
sign,0.01,1.0,0.5,2.0,0.7579248785358828
sign,0.01,1.0,0.6,2.0,0.747141944701172
sign,0.01,1.0,0.7,2.0,0.7658082233668619
sign,0.01,1.0,0.8,2.0,0.8032196275969523
sign,0.01,1.0,0.9,2.0,0.8282385217174821
sign,0.01,1.0,1.0,2.0,0.803555080518426
sign,0.01,1.0,1.1,2.0,0.7298397278428155
sign,0.01,1.0,1.2,2.0,0.6391790078586581
sign,0.01,1.0,1.3,2.0,0.5540121812937637
sign,0.01,1.0,1.4,2.0,0.48121533903369995
sign,0.01,1.0,1.5,2.0,0.4207366818167493
sign,0.01,1.0,1.6,2.0,0.3706557776919748
sign,0.01,1.0,1.7,2.0,0.3289265467265978
sign,0.01,1.0,1.8,2.0,0.2938247825634479
sign,0.01,1.0,1.9,2.0,0.26399395008763427
sign,0.01,1.0,2.0,2.0,0.23838847394003393
sign,0.01,1.0,2.1,2.0,0.21620420847593103
sign,0.01,1.0,2.2,2.0,0.1968192418885064
sign,0.01,1.0,2.3,2.0,0.17974833073184104
sign,0.01,1.0,2.4,2.0,0.16460903465100785
sign,0.01,1.0,2.5,2.0,0.15109681124694307
sign,0.1,0.0,0.3,2.0,0.6108143001741907
sign,0.1,0.0,0.4,2.0,0.4688307994076587
sign,0.1,0.0,0.5,2.0,0.3397405437494887
sign,0.1,0.0,0.6,2.0,0.2298839169580419
